id,floc_id,size
1,0,178
1,1,417
2,0,262
3,0,6537
3,1,204
3,2,390
3,3,1256
4,0,9279
5,0,511
5,1,181
6,0,7167
6,1,1464
6,2,1176
6,3,834
7,0,2339
7,1,440
7,2,485
8,0,3726
8,1,312
9,0,663
10,0,5349
10,1,284
10,2,355
11,0,2609
11,1,218
11,2,90
12,0,580
12,1,280
12,2,1302
12,3,231
13,0,547
13,1,439
14,0,755
15,0,220
15,1,859
15,2,249
16,0,1745
16,1,854
16,2,400
17,0,181
17,1,3664
18,0,870
18,1,260
19,0,6821
19,1,149
20,0,0
21,0,1732
21,1,263
21,2,400
22,0,0
23,0,1204
23,1,2808
23,2,556
23,3,453
24,0,1685
24,1,2729
25,0,633
25,1,1243
25,2,740
25,3,1002
26,0,475
26,1,556
26,2,265
27,0,530
27,1,104
27,2,1868
28,0,0
29,0,4798
29,1,327
29,2,387
30,0,570
30,1,226
31,0,2328
31,1,569
32,0,5902
32,1,168
32,2,395
33,0,417
34,0,218
35,0,411
35,1,627
36,0,51
37,0,279
37,1,59222
38,0,244
39,0,2490
39,1,318
39,2,723
39,3,588
40,0,1217
41,0,6394
41,1,12191
42,0,230
43,0,4663
43,1,1801
43,2,3132
43,3,443
44,0,492
44,1,377
44,2,850
44,3,311
45,0,0
46,0,903
46,1,944
46,2,667
46,3,687
47,0,299
47,1,440
48,0,3408
48,1,714
48,2,223
49,0,9128
50,0,363
50,1,319
50,2,449
51,0,144
51,1,161
51,2,1172
52,0,6613
53,0,2869
53,1,122
54,0,4015
54,1,3065
54,2,124
55,0,5672
55,1,4545
55,2,1100
55,3,2100
55,4,539
56,0,0
57,0,6483
57,1,3689
57,2,2643
57,3,755
57,4,190
58,0,584
58,1,2179
58,2,488
59,0,195
60,0,443
60,1,762
60,2,174
61,0,1241
61,1,322
61,2,244
62,0,3038
62,1,1105
62,2,584
62,3,1092
63,0,533
63,1,290
64,0,1697
65,0,273
65,1,124
66,0,836
66,1,239
66,2,488
66,3,166
67,0,27775
67,1,1413
67,2,44833
68,0,0
69,0,5358
69,1,131
70,0,354
71,0,12033
71,1,341
71,2,1438
71,3,581
72,0,8997
72,1,41391
72,2,173
73,0,303
73,1,564
73,2,488
73,3,144
73,4,2538
73,5,998
74,0,1203
75,0,4705
75,1,571
75,2,1576
76,0,257
76,1,507
77,0,1108
77,1,5763
78,0,1609
78,1,338
78,2,1961
78,3,78
79,0,375
79,1,128
79,2,96
80,0,2301
80,1,592
81,0,0
82,0,13971
82,1,432
82,2,527
82,3,715
82,4,3852
82,5,270
83,0,346
83,1,179
84,0,219
84,1,323
85,0,9968
85,1,212
85,2,293
85,3,28
86,0,1721
86,1,272
87,0,434
87,1,806
87,2,366
87,3,627
88,0,8066
89,0,1169
89,1,404
89,2,557
90,0,197
90,1,316
91,0,18476
91,1,341
92,0,2275
92,1,388
92,2,757
92,3,969
92,4,153
93,0,8930
93,1,179
94,0,17940
94,1,493
94,2,655
94,3,171
95,0,987
96,0,534
96,1,2593
96,2,1375
97,0,243
98,0,520
98,1,1066
98,2,2161
99,0,587
99,1,806
100,0,518
100,1,120
100,2,501
101,0,7716
101,1,553
101,2,341
102,0,446
102,1,61993
102,2,140
103,0,2683
104,0,2680
104,1,304
104,2,577
